"Obs","AREA","RS_EXIT","RISK","SE","CIL","CIU"
"319",1,13102.00,0.03730,0.017501,0.014873,0.09356
"320",1,13103.00,0.03737,0.017530,0.014899,0.09372
"321",1,13104.00,0.03743,0.017558,0.014925,0.09387
"322",1,13106.00,0.03749,0.017586,0.014951,0.09402
"323",1,13107.00,0.03755,0.017615,0.014976,0.09417
"324",1,13108.00,0.03762,0.017643,0.015002,0.09432
"325",1,13110.00,0.03768,0.017671,0.015027,0.09447
"326",1,13116.00,0.03774,0.017699,0.015053,0.09462
"327",1,13123.00,0.03780,0.017726,0.015077,0.09477
"328",1,13123.00,0.03786,0.017753,0.015102,0.09491
"329",1,13124.00,0.03792,0.017781,0.015127,0.09506
"330",1,13132.00,0.03798,0.017808,0.015151,0.09521
"331",1,13132.00,0.03804,0.017835,0.015176,0.09535
"332",1,13134.00,0.03810,0.017862,0.015200,0.09550
"333",1,13136.00,0.03816,0.017889,0.015225,0.09564
"334",1,13138.00,0.03822,0.017916,0.015249,0.09579
"335",1,13139.00,0.03828,0.017943,0.015274,0.09593
"336",1,13140.00,0.03834,0.017970,0.015298,0.09608
"337",1,13141.00,0.03840,0.017997,0.015323,0.09622
"338",1,13144.00,0.03846,0.018024,0.015347,0.09637
"339",1,13147.00,0.03852,0.018052,0.015372,0.09651
"340",1,13147.00,0.03858,0.018079,0.015396,0.09666
"341",1,13148.00,0.03864,0.018106,0.015421,0.09680
"342",1,13151.00,0.03870,0.018133,0.015445,0.09695
"343",1,13152.00,0.03876,0.018160,0.015470,0.09709
"344",1,13155.00,0.03882,0.018187,0.015494,0.09724
"345",1,13158.00,0.03887,0.018213,0.015518,0.09738
"346",1,13158.00,0.03893,0.018239,0.015541,0.09752
"347",1,13159.00,0.03899,0.018266,0.015565,0.09766
"348",1,13161.00,0.03905,0.018292,0.015589,0.09780
"349",1,13164.00,0.03911,0.018319,0.015613,0.09795
"350",1,13164.00,0.03916,0.018346,0.015637,0.09809
"351",1,13165.00,0.03922,0.018372,0.015660,0.09823
"352",1,13167.00,0.03928,0.018398,0.015684,0.09837
"353",1,13168.00,0.03934,0.018424,0.015707,0.09851
"354",1,13168.00,0.03939,0.018451,0.015731,0.09865
"355",1,13169.00,0.03945,0.018477,0.015755,0.09879
"356",1,13173.00,0.03951,0.018503,0.015779,0.09894
"357",1,13179.00,0.03957,0.018530,0.015802,0.09908
"358",1,13181.00,0.03963,0.018556,0.015826,0.09922
"359",1,13181.00,0.03968,0.018583,0.015850,0.09936
"360",1,13190.00,0.03974,0.018609,0.015874,0.09950
"361",1,13194.00,0.03980,0.018636,0.015898,0.09964
"362",1,13196.00,0.03986,0.018662,0.015921,0.09979
"363",1,13200.00,0.03992,0.018689,0.015945,0.09993
"364",1,13201.00,0.03997,0.018715,0.015969,0.10007
"365",1,13201.00,0.04003,0.018741,0.015992,0.10021
"366",1,13202.00,0.04009,0.018767,0.016016,0.10035
"367",1,13203.00,0.04015,0.018794,0.016040,0.10049
"368",1,13205.00,0.04021,0.018820,0.016063,0.10063
"369",1,13206.00,0.04026,0.018846,0.016087,0.10077
"370",1,13206.00,0.04032,0.018872,0.016110,0.10091
"371",1,13212.00,0.04038,0.018899,0.016134,0.10105
"372",1,13214.00,0.04043,0.018924,0.016157,0.10119
"373",1,13214.00,0.04049,0.018951,0.016181,0.10133
"374",1,13214.00,0.04055,0.018977,0.016204,0.10147
"375",1,13215.00,0.04061,0.019003,0.016228,0.10161
"376",1,13216.00,0.04066,0.019029,0.016251,0.10175
"377",1,13217.00,0.04072,0.019055,0.016275,0.10189
"378",1,13217.00,0.04078,0.019082,0.016298,0.10203
"379",1,13219.00,0.04084,0.019108,0.016322,0.10217
"380",1,13220.00,0.04089,0.019134,0.016345,0.10231
"381",1,13225.00,0.04095,0.019160,0.016369,0.10245
"382",1,13230.00,0.04101,0.019186,0.016392,0.10259
"383",1,13232.00,0.04107,0.019211,0.016415,0.10273
"384",1,13233.00,0.04112,0.019237,0.016439,0.10287
"385",1,13233.00,0.04118,0.019263,0.016462,0.10301
"386",1,13235.00,0.04124,0.019289,0.016485,0.10314
"387",1,13238.00,0.04129,0.019315,0.016508,0.10328
"388",1,13238.00,0.04135,0.019341,0.016532,0.10342
"389",1,13239.00,0.04141,0.019367,0.016555,0.10356
"390",1,13241.00,0.04146,0.019392,0.016578,0.10370
"391",1,13245.00,0.04152,0.019418,0.016601,0.10384
"392",1,13245.00,0.04158,0.019444,0.016624,0.10398
"393",1,13247.00,0.04163,0.019470,0.016648,0.10411
"394",1,13252.00,0.04169,0.019496,0.016671,0.10425
"395",1,13259.00,0.04175,0.019521,0.016694,0.10439
"396",1,13259.00,0.04180,0.019547,0.016717,0.10453
"397",1,13260.00,0.04186,0.019573,0.016740,0.10467
"398",1,13261.00,0.04192,0.019598,0.016764,0.10480
"399",1,13263.00,0.04197,0.019624,0.016787,0.10494
"400",1,13264.00,0.04203,0.019650,0.016810,0.10508
"401",1,13265.00,0.04208,0.019675,0.016833,0.10522
"402",1,13265.00,0.04214,0.019701,0.016856,0.10535
"403",1,13265.00,0.04220,0.019727,0.016879,0.10549
"404",1,13277.00,0.04225,0.019752,0.016902,0.10563
"405",1,13282.00,0.04231,0.019778,0.016925,0.10576
"406",1,13282.00,0.04237,0.019803,0.016948,0.10590
"407",1,13283.00,0.04242,0.019829,0.016971,0.10604
"408",1,13284.00,0.04248,0.019854,0.016994,0.10617
"409",1,13288.00,0.04253,0.019879,0.017017,0.10631
"410",1,13290.00,0.04259,0.019905,0.017040,0.10645
"411",1,13294.00,0.04265,0.019930,0.017063,0.10658
"412",1,13296.00,0.04270,0.019956,0.017086,0.10672
"413",1,13303.00,0.04276,0.019981,0.017109,0.10685
"414",1,13304.00,0.04281,0.020006,0.017132,0.10699
"415",1,13304.00,0.04287,0.020031,0.017155,0.10713
"416",1,13308.00,0.04292,0.020057,0.017177,0.10726
"417",1,13315.00,0.04298,0.020082,0.017200,0.10739
"418",1,13318.00,0.04303,0.020107,0.017222,0.10753
"419",1,13321.00,0.04309,0.020132,0.017245,0.10766
"420",1,13322.00,0.04314,0.020157,0.017268,0.10780
"421",1,13324.00,0.04320,0.020182,0.017290,0.10793
"422",1,13331.00,0.04325,0.020207,0.017313,0.10807
"423",1,13332.00,0.04331,0.020232,0.017336,0.10820
"424",1,13333.00,0.04336,0.020257,0.017358,0.10834
"425",1,13337.00,0.04342,0.020282,0.017381,0.10847
